hotel_name,url,locality,reviews,tripadvisor_rating,checkOut,checkIn,hotel_features,price_per_night,no_of_deals,booking_provider
Little Hanoi Deluxe Hotel,http://www.tripadvisor.com/Hotel_Review-g293924-d1402958-Reviews-Little_Hanoi_Deluxe_Hotel-Hanoi.html,ha noi,662 ,5,2018/10/02,2018/10/01,"Free Wifi,Breakfast included",$41,0,Hotels.com
Hanoi Antique Legend Hotel,http://www.tripadvisor.com/Hotel_Review-g293924-d11952439-Reviews-Hanoi_Antique_Legend_Hotel-Hanoi.html,ha noi,406 ,5,2018/10/02,2018/10/01,"Free Wifi,Breakfast included",$46,0,Booking.com
Serene Boutique Hotel & Spa,http://www.tripadvisor.com/Hotel_Review-g293924-d3320127-Reviews-Serene_Boutique_Hotel_Spa-Hanoi.html,ha noi,564 ,5,2018/10/02,2018/10/01,"Free Wifi,Breakfast included,Hotel website",$83,0,Booking.com
Golden Sun Suites Hotel,http://www.tripadvisor.com/Hotel_Review-g293924-d5039614-Reviews-Golden_Sun_Suites_Hotel-Hanoi.html,ha noi,2153 ,5,2018/10/02,2018/10/01,"Free Wifi,Breakfast included",$39,0,Agoda.com
JM Marvel Hotel & Spa,http://www.tripadvisor.com/Hotel_Review-g293924-d13507503-Reviews-JM_Marvel_Hotel_Spa-Hanoi.html,ha noi,382 ,5,2018/10/02,2018/10/01,"Free Wifi,Breakfast included,Hotel website",$72,0,Booking.com
Hanoi La Siesta Diamond Hotel & Spa,http://www.tripadvisor.com/Hotel_Review-g293924-d1224737-Reviews-Hanoi_La_Siesta_Diamond_Hotel_Spa-Hanoi.html,ha noi,949 ,5,2018/10/02,2018/10/01,"Free Wifi,Breakfast included",$82,6,Booking.com
Hanoi La Siesta Central Hotel,http://www.tripadvisor.com/Hotel_Review-g293924-d12713861-Reviews-Hanoi_La_Siesta_Central_Hotel-Hanoi.html,ha noi,416 ,5,2018/10/02,2018/10/01,"Free Wifi,Breakfast included",$117,5,Hotel Website
Hanoi La Siesta Hotel & Spa,http://www.tripadvisor.com/Hotel_Review-g293924-d7180030-Reviews-Hanoi_La_Siesta_Hotel_Spa-Hanoi.html,ha noi,3587 ,5,2018/10/02,2018/10/01,"Traveler’s Choice,Travelers' Choice®  Winner",$91,7,Booking.com
Essence Hanoi Hotel & Spa,http://www.tripadvisor.com/Hotel_Review-g293924-d2298266-Reviews-Essence_Hanoi_Hotel_Spa-Hanoi.html,ha noi,369 ,5,2018/10/02,2018/10/01,"Free Wifi,Breakfast included",$80,5,Booking.com
Serene Premier Hotel,http://www.tripadvisor.com/Hotel_Review-g293924-d3396794-Reviews-Serene_Premier_Hotel-Hanoi.html,ha noi,801 ,5,2018/10/02,2018/10/01,"Free Wifi,Breakfast included",$41,0,Booking.com
Hanoi Trendy Hotel & Spa,http://www.tripadvisor.com/Hotel_Review-g293924-d10815710-Reviews-Hanoi_Trendy_Hotel_Spa-Hanoi.html,ha noi,985 ,5,2018/10/02,2018/10/01,"Free Wifi,Breakfast included,Hotel website",$44,0,Hotels.com
Hanoi La Siesta Hotel Trendy,http://www.tripadvisor.com/Hotel_Review-g293924-d9808263-Reviews-Hanoi_La_Siesta_Hotel_Trendy-Hanoi.html,ha noi,2151 ,5,2018/10/02,2018/10/01,"Free Wifi,Breakfast included,Hotel website",$65,7,Hotels.com
Holiday Emerald Hotel,http://www.tripadvisor.com/Hotel_Review-g293924-d12103440-Reviews-Holiday_Emerald_Hotel-Hanoi.html,ha noi,585 ,5,2018/10/02,2018/10/01,"Free Wifi,Breakfast included",$39,0,Agoda.com
Hanoi La Selva Hotel,http://www.tripadvisor.com/Hotel_Review-g293924-d4748027-Reviews-Hanoi_La_Selva_Hotel-Hanoi.html,ha noi,1637 ,5,2018/10/02,2018/10/01,"Free Wifi,Breakfast included",,0,
Hanoi Marvellous Hotel & Spa,http://www.tripadvisor.com/Hotel_Review-g293924-d9786699-Reviews-Hanoi_Marvellous_Hotel_Spa-Hanoi.html,ha noi,1430 ,5,2018/10/02,2018/10/01,"Free Wifi,Breakfast included,Hotel website",$58,0,Agoda.com
Bonsella Hotel,http://www.tripadvisor.com/Hotel_Review-g293924-d12347998-Reviews-Bonsella_Hotel-Hanoi.html,ha noi,439 ,5,2018/10/02,2018/10/01,"Free Wifi,Breakfast included",$55,0,Booking.com
O'Gallery Premier Hotel & Spa,http://www.tripadvisor.com/Hotel_Review-g293924-d10550496-Reviews-O_Gallery_Premier_Hotel_Spa-Hanoi.html,ha noi,1919 ,5,2018/10/02,2018/10/01,"Free Wifi,Breakfast included,Hotel website",$68,0,Agoda.com
La Storia Ruby Hotel,http://www.tripadvisor.com/Hotel_Review-g293924-d1180566-Reviews-La_Storia_Ruby_Hotel-Hanoi.html,ha noi,486 ,5,2018/10/02,2018/10/01,"Free Wifi,Breakfast included",$52,0,Booking.com
Golden Sun Palace Hotel,http://www.tripadvisor.com/Hotel_Review-g293924-d3745968-Reviews-Golden_Sun_Palace_Hotel-Hanoi.html,ha noi,1287 ,5,2018/10/02,2018/10/01,"Free Wifi,Breakfast included",,0,
Hanoi E Central Hotel,http://www.tripadvisor.com/Hotel_Review-g293924-d4137737-Reviews-Hanoi_E_Central_Hotel-Hanoi.html,ha noi,1100 ,5,2018/10/02,2018/10/01,"Free Wifi,Breakfast included",$54,6,Booking.com
Oriental Central Hotel,http://www.tripadvisor.com/Hotel_Review-g293924-d5955080-Reviews-Oriental_Central_Hotel-Hanoi.html,ha noi,3432 ,5,2018/10/02,2018/10/01,"Free Wifi,Breakfast included,Hotel website",$49,5,Agoda.com
Golden Sun Villa Hotel,http://www.tripadvisor.com/Hotel_Review-g293924-d5523534-Reviews-Golden_Sun_Villa_Hotel-Hanoi.html,ha noi,1034 ,5,2018/10/02,2018/10/01,"Free Wifi,Breakfast included",$49,0,Booking.com
